star planet planets temp mass radius metal period umag gmag rmag imag zmag jmag hmag kmag ESI
STAR-230 b 1 5293 0.9 0.83 0.08 19.96371318 14.301 10.275 11.331 13.553 12.67 10.946 10.885 12.713 49.9
STAR-058 b 3 5180 0.74 1.037 NA 2.382667 13.692 14.007 15.061 16.26 15.398 16.042 13.916 13.448 28.7
STAR-370 b 4 5232 NA 0.891 NA 5.433074 13.204 15.4 16.898 15.237 14.472 15.035 13.096 12.685 39.1
STAR-065 b 2 4625 0.628 0.663 NA 10.139623 12.897 13.164 14.391 15.933 14.848 15.754 13.103 12.529 49
STAR-263 b 1 6350 1.3 1.55 0.07 7.16892463 13.536 15.4 16.898 12.578 12.251 12.414 11.406 11.17 43.1
STAR-593 b 1 5296 0.88 0.83 0.01 16.54964934 13.174 29.699 31.82 15.303 14.615 15.082 13.323 12.913 43.6
STAR-643 b 1 4248 0.65 0.62 -0.09 0.9283105 12.208 15.4 16.898 17.024 15.839 16.907 13.936 13.305 39.9
STAR-705 b 1 4339 0.64 0.62 -0.18 18.7546998 13.25 28.04 31.159 16.599 15.425 16.413 13.628 13.006 56.6
STAR-613 b 3 5815 0.97 0.9 NA 2.508553 13.559 2.505 3.3 14.759 14.229 14.553 13.146 12.823 38.3
STAR-464 b 2 5816 0.953 0.958 NA 6.919798 13.341 28.04 31.159 14.763 14.211 14.545 13.041 12.708 44.6
STAR-110 b 1 5890 1.08 1.11 0.13 3.68992629 14.116 29.699 31.82 15.735 15.177 15.552 14.012 13.72 39
STAR-053 b 1 5315 0.85 0.82 -0.09 14.13176026 12.925 28.04 31.159 16.338 15.714 16.12 14.445 14.041 43.3
STAR-460 b 1 5387 0.87 0.84 -0.06 17.44490636 13.249 28.04 31.159 15.612 14.941 15.37 13.666 13.253 40.9
STAR-195 b 1 6187 1.21 1.35 0.11 18.11472949 13.839 15.4 16.898 13.137 12.767 12.964 11.833 11.632 40.5
STAR-498 c NA NA NA NA NA NA 13.723 6.712 7.669 14.398 13.915 14.211 12.823 12.545 38.8
STAR-064 b 1 4346 0.68 0.65 -0.03 5.74772501 12.116 28.04 31.159 15.657 14.46 15.539 12.608 11.965 48.8
STAR-292 c 2 6150 1.129 1.606 -0.04 50.790391 13.564 6.712 7.669 14.607 14.213 14.426 13.323 12.987 33.9
STAR-081 b 2 5854 0.92 1.091 NA 9.488015 13.732 29.699 31.82 15.89 15.27 15.636 14.082 13.75 37
STAR-598 c 4 5551 1 1.301 NA 3.38802 13.439 20.941 22.518 15.569 14.992 15.345 13.823 13.496 39
STAR-205 c 3 5873 1.18 1.16 NA 7.125939 13.232 30.225 31.82 13.111 12.732 13.017 11.81 11.554 35.1
STAR-047 b 1 5515 0.93 0.86 -0.03 5.83598311 12.927 10.275 11.331 12.992 12.412 12.773 11.282 10.907 32.9
STAR-658 b 2 4508 0.635 0.62 NA 5.931194 14.055 28.355 30.499 15.231 14.163 15.078 12.532 11.887 45.1
STAR-586 b 1 6058 1.22 1.31 0.29 37.8144514 13.224 16.662 18.119 13.989 13.55 13.785 12.554 12.31 49.5
STAR-697 b 2 5667 1.17 1.56 NA 3.4876812 13.379 6.712 7.669 14.406 13.72 12.112 12.011 13.77 30.9
STAR-115 b NA NA NA NA NA NA 14.068 10.275 11.331 13.879 13.276 13.656 12.086 11.75 35.2
STAR-576 b 2 6091 1.129 1.26 NA 7.693641 13.506 14.345 15.644 14.372 13.948 14.178 12.955 12.695 40.8
STAR-181 b 2 6002 1.01 1.016 NA 3.546511 12.606 28.04 29.546 16.435 15.855 16.212 14.688 14.336 38
STAR-432 b 2 4321 0.592 0.546 NA 2.75564 12.377 12.003 13.206 14.649 13.469 14.518 11.608 10.961 40.6
STAR-627 d 4 5560 0.97 0.939 NA 12.56093 12.314 12.003 13.206 15.497 14.934 15.27 13.817 13.422 38.8
STAR-668 b 1 5763 1.07 0.99 0.23 3.24755522 14.146 14.9 16.047 13.532 13.049 13.363 12.006 11.705 41.5
STAR-409 c 2 5595 0.918 0.839 NA 4.125103 13.097 28.04 31.159 14.761 14.164 14.563 12.996 12.635 47.3
STAR-234 c 2 6335 1.139 1.147 NA 50.697494 13.73 29.699 31.82 15.013 14.568 14.816 13.538 13.242 54
STAR-559 b 1 5715 1 0.94 0.05 5.69919514 14.05 15.4 16.898 13.476 13.018 13.295 11.93 11.595 41.6
STAR-185 b 2 5043 0.82 0.77 -0.01 1.26909037 12.918 15.4 16.898 14.706 13.93 14.507 12.464 11.961 31.9
STAR-355 b 1 5680 0.96 0.95 -0.02 27.07237711 13.043 2.505 3.3 15.125 14.514 14.898 13.292 12.897 51.6
STAR-072 c 4 6003 NA 1.178 NA 6.414914 12.189 10.275 11.331 12.172 11.749 11.962 10.797 10.516 34.7
STAR-202 b 1 5970 1.198 1.38 0.35 12.8747099 12.998 28.04 31.159 14.97 14.445 14.766 13.4 13.035 39.7
STAR-553 b 1 4192 0.6 0.57 -0.27 2.24338185 13.763 12.003 13.206 16.369 15.11 16.191 13.212 12.521 40.4
STAR-723 b 1 5849 1.02 1.06 -0.01 28.86235584 13.745 12.591 13.805 13.32 12.871 13.13 11.846 11.551 45.7
STAR-532 b 2 4559 0.612 0.65 NA 2.4532 12.96 12.003 13.206 14.874 13.756 14.711 11.992 11.448 35.3
STAR-224 b 1 5162 0.81 0.78 -0.1 13.2140732 13.409 29.699 31.82 16.613 15.934 16.418 14.598 14.125 53
STAR-492 b 2 5806 0.93 1.032 NA 20.342199 13.731 2.505 3.3 15.296 14.713 15.059 13.541 13.201 42
STAR-266 b 1 5746 0.99 1.02 0.02 22.18329658 14.124 28.04 31.159 14.546 14.075 14.351 13.032 12.702 63.4
STAR-268 b NA NA NA NA NA NA 13.181 28.04 31.159 15.313 14.602 15.086 13.221 12.826 36.9
STAR-073 c 4 5243 0.816 0.821 NA 5.690586 13.778 14.9 16.047 14.358 13.699 14.151 12.413 11.994 35.7
STAR-477 b 1 5355 0.88 0.84 0 3.72873109 13.986 2.505 3.3 16.107 15.461 15.909 14.179 13.824 31.2
STAR-575 b 4 5428 0.922 0.945 NA 26.443794 12.963 12.003 13.206 15.718 15.096 15.478 13.878 13.526 37.6
STAR-192 b 1 4435 0.67 0.63 -0.17 11.41928253 12.879 28.04 31.159 16.352 15.249 16.223 13.489 12.887 50.2
STAR-245 b 1 4871 0.75 0.72 -0.13 56.35418576 13.983 4.956 5.811 14.551 13.716 14.409 12.173 11.66 64.4
STAR-610 c 3 5524 NA 0.88 NA 7.410935 12.673 15.4 16.898 13.883 13.367 13.666 12.198 11.819 47.1
STAR-594 b 2 6194 1.19 1.29 0.08 20.42228798 12.307 16.662 18.119 13.809 13.423 13.613 12.538 12.269 46.4
STAR-250 b 2 5913 0.994 0.976 NA 3.701212 13.172 28.04 31.159 16.362 15.788 16.158 14.567 14.263 37
STAR-600 c 2 5857 0.993 0.884 NA 13.699087 12.669 19.07 20.646 15.113 14.587 14.914 13.46 13.101 38.6
STAR-123 b 1 5352 0.87 0.82 -0.06 8.35390639 13.627 2.505 3.3 15.862 15.267 15.71 13.996 13.582 42.2
STAR-069 b 1 4908 1 2.52 0.13 16.33889626 12.81 14.007 15.061 14.588 13.72 14.342 12.211 11.672 19.6
STAR-246 d 4 4252 0.549 0.559 NA 2.576549 12.558 10.275 11.331 16.628 15.264 16.395 13.183 12.487 40.3
STAR-072 b 4 6003 NA 1.178 NA 6.178196 12.189 10.275 11.331 12.172 11.749 11.962 10.797 10.516 35.2
