star planet planets temp mass radius metal period umag gmag rmag imag zmag jmag hmag kmag ESI
STAR-429 c 2 4208 0.61 0.549 NA 10.848463 13.364 28.04 29.546 16.15 14.989 15.959 13.24 12.65 49.5
STAR-621 c 6 4540 0.73 0.678 0.04 9.52355 12.701 15.4 16.898 15.859 14.723 15.674 12.954 12.353 45
STAR-575 e 4 5428 0.922 0.945 NA 5.902206 12.963 12.003 13.206 15.718 15.096 15.478 13.878 13.526 35
STAR-107 b 1 5616 0.97 0.96 0.09 3.76182115 12.276 28.04 31.159 15.836 15.199 15.607 13.955 13.625 34.7
STAR-654 c 3 6354 1.26 1.34 0.11 12.7203678 12.06 3.816 4.606 11.293 10.778 9.493 10.734 0 30.4
STAR-392 b 1 5745 0.98 0.97 0 4.24153639 12.46 2.505 3.3 15.169 14.572 14.935 13.352 12.996 39.4
STAR-016 c 4 6189 1.18 1.403 NA 27.401994 13.642 4.956 5.811 14.273 13.879 14.084 12.913 12.653 45.2
STAR-168 b 2 5265 0.801 0.785 NA 16.568087 12.1 28.04 31.159 16.089 15.346 15.877 13.993 13.531 44.5
STAR-249 c 3 NA NA NA NA 7.64159 13.544 4.956 5.811 14.16 13.479 13.935 12.189 11.872 25.8
STAR-522 b 1 5677 0.97 0.94 0.01 81.1694299 13.506 29.699 31.82 14.985 14.43 14.768 13.326 12.952 69.1
STAR-454 d 3 5502 1.019 1.063 NA 124.5244647 13.62 14.9 16.047 14.507 13.891 14.28 12.731 12.385 65
STAR-521 b 1 5282 0.82 0.79 -0.19 1.22486632 12.556 2.505 3.3 15.972 15.332 15.746 14.128 13.656 33.4
STAR-584 b 3 6043 1.04 1.014 NA 2.566546 13.972 14.007 15.061 16.234 15.677 16 14.528 14.112 35.4
STAR-408 b 2 6077 1.207 1.288 NA 3.25427 13.289 10.275 11.331 13.316 12.939 13.151 11.989 11.759 39.6
STAR-220 b 2 6142 1.206 1.454 NA 5.968734 13.16 4.956 5.811 14.047 13.668 13.861 12.702 12.486 33.8
STAR-286 b 1 5870 1.01 1.02 -0.06 8.63847725 12.536 2.505 3.3 14.949 14.467 14.744 13.454 13.09 39.6
STAR-663 b 1 5865 1.04 1.11 0.04 13.72465129 13.802 14.9 16.047 14.124 13.594 13.879 12.516 12.201 37.4
STAR-204 b 1 6079 1.05 1.15 -0.12 4.48758907 11.924 15.4 16.898 13.859 13.406 13.655 12.372 12.057 45.5
STAR-662 d 3 5888 1.15 1.148 NA 28.986769 13.45 15.4 16.898 14.634 14.224 14.473 13.253 13.007 46.1
STAR-435 b 2 5812 1.05 1.238 NA 14.400974 12.363 14.345 15.644 14.324 13.852 14.118 12.846 12.486 42.3
STAR-733 b 1 5928 1.06 1.08 0.04 3.22296927 12.395 29.699 31.632 15.129 14.564 14.901 13.391 13.039 37
STAR-565 c 4 5835 1.15 1.103 NA 17.028937 12.557 29.699 31.632 15.803 15.348 15.61 14.252 13.935 40.9
STAR-728 b 1 4043 0.58 0.56 -0.17 5.72812599 12.672 28.04 31.159 17.257 15.969 16.998 13.875 13.208 46
STAR-461 b 1 6123 1.18 1.27 0.13 4.90332155 14.215 14.9 16.047 13.523 13.116 13.343 12.141 11.914 35.7
STAR-191 d 3 6239 1.11 1.358 NA 100.283134 12.968 20.941 22.518 10.904 10.514 9.344 10.5 0 58.5
